SURVEY_INFO,esdate,ward,respid,gender,age,hhsize,educ,religion,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,corganizedae,csafeburial,bucket,handsanitizer,ECONOMIC_FOOD_IMPACTS,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation
,1/4/15 11:58,Z1100-Paynesville,2020161,1-Male,18,3,5-Some high school,1-Christian,,1-Preparing or eating bush mea;4-Man woman business;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;6-Sore throat;9-Rash;11-Hiccups,21,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,500,1-LD,600,1-LD,0-None
,1/4/15 10:01,Z1100-Paynesville,2020111,1-Male,34,7,6-Completed high school,1-Christian,,97-Dont know,97-Does not know,3,N,Y,Y,N,,Y,N,Y,,,97-Do not know,1-Agree,0-No,0-No,,400,1-LD,750,1-LD,4-Skilled manual
,1/4/15 10:16,Z1100-Paynesville,2020132,2-Female,28,2,0-None,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;88-Other,1-Vomiting;3-Diarrhea;4-Headache;5-Joint and muscle pain;7-Weakness,4,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,1-LD,2000,1-LD,88-Other
,1/4/15 12:44,Z1100-Paynesville,2020114,2-Female,30,8,2-Completed ABC,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;10-Red eyes;12-Bleeding;18-Cough,7,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,500,1-LD,1500,1-LD,4-Skilled manual
,1/4/15 10:18,Z1100-Paynesville,2020151,1-Male,52,7,2-Completed ABC,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue;14-Bruising,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,800,1-LD,3500,1-LD,4-Skilled manual
,1/4/15 12:24,Z1100-Paynesville,2020153,1-Male,44,7,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,600,1-LD,1000,1-LD,4-Skilled manual
,1/5/15 16:15,Z1100-Paynesville,2021162,1-Male,27,2,7-Some university,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;9-Rash;10-Red eyes;15-Chills,21,N,Y,N,N,,N,,,,,1-Agree,0-Disagree,1-Yes,0-No,,2000,1-LD,6000,1-LD,3-Sales and services
,1/5/15 16:22,Z1100-Paynesville,2021213,1-Male,40,7,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;9-Rash;10-Red eyes;12-Bleeding,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,500,1-LD,2000,1-LD,3-Sales and services
,1/6/15 10:54,Z1100-Paynesville,2021164,2-Female,26,5,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;4-Headache;10-Red eyes,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,2000,1-LD,4500,1-LD,3-Sales and services
,1/5/15 12:56,Z1100-Paynesville,2021212,2-Female,34,9,2-Completed ABC,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;9-Rash;10-Red eyes;18-Cough,21,N,Y,Y,Y,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,600,1-LD,1300,1-LD,3-Sales and services
,1/5/15 17:37,Z1100-Paynesville,2021152,2-Female,39,4,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,3500,1-LD,4900,1-LD,2-Clerical
,1/6/15 10:07,Z1100-Paynesville,2021194,2-Female,32,10,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;5-Touching dead bodies,1-Vomiting;2-Fever;5-Joint and muscle pain;8-Stomach pain,21,Y,Y,Y,Y,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,1000,1-LD,2000,1-LD,3-Sales and services
,1/6/15 11:41,Z1100-Paynesville,2021165,1-Male,32,2,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;4-Headache;7-Weakness;9-Rash;10-Red eyes,5,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,1000,1-LD,10000,1-LD,3-Sales and services
,1/5/15 11:56,Z1100-Paynesville,2021211,2-Female,34,8,5-Some high school,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;9-Rash;10-Red eyes;12-Bleeding,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,800,1-LD,3000,1-LD,3-Sales and services
,1/6/15 10:47,Z1100-Paynesville,2021195,2-Female,24,10,5-Some high school,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;4-Headache;7-Weakness,21,N,N,N,Y,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,1-LD,5000,1-LD,3-Sales and services
,1/6/15 12:13,Z1100-Paynesville,2021134,2-Female,35,3,2-Completed ABC,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;4-Headache;10-Red eyes;12-Bleeding,3,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,0,88-N/A,500,1-LD,88-Other
,1/5/15 16:57,Z1100-Paynesville,2021193,2-Female,49,10,0-None,1-Christian,,97-Dont know,97-Does not know,0,N,Y,N,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,0,1-LD,500,1-LD,0-None
,1/5/15 16:24,Z1100-Paynesville,2021192,1-Male,43,4,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;5-Touching dead bodies;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;5-Joint and muscle pain;7-Weakness,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,500,1-LD,4-Skilled manual
,1/6/15 10:05,Z1100-Paynesville,202112,2-Female,23,4,3-Some junior high,1-Christian,,97-Dont know,1-Vomiting;4-Headache;12-Bleeding,0,Y,Y,Y,Y,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,,,,,
,1/5/15 16:24,Z1100-Paynesville,2021151,1-Male,43,5,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding,21,N,Y,Y,N,,Y,Y,,6-Family or self,,1-Agree,1-Agree,1-Yes,1-Yes,,500,1-LD,1500,1-LD,4-Skilled manual
,1/5/15 15:37,Z1100-Paynesville,2021131,2-Female,49,9,0-None,1-Christian,,97-Dont know,97-Does not know,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,300,1-LD,500,1-LD,88-Other
,1/6/15 11:41,Z1100-Paynesville,2021196,1-Male,43,10,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac,1-Vomiting;4-Headache;6-Sore throat,0,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,400,1-LD,9000,1-LD,3-Sales and services
,1/5/15 15:20,Z1100-Paynesville,2021161,2-Female,23,4,0-None,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;7-Weakness;9-Rash;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,97-Do not know,0-No,0-No,,800,1-LD,4000,1-LD,3-Sales and services
,1/5/15 15:39,Z1100-Paynesville,2021191,2-Female,40,15,1-Some ABC,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;6-Sore throat;9-Rash;10-Red eyes;11-Hiccups,0,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,300,1-LD,3-Sales and services
,1/6/15 9:59,Z1100-Paynesville,2021163,1-Male,42,5,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,2500,1-LD,6000,1-LD,3-Sales and services
,1/6/15 10:57,Z1100-Paynesville,2021133,2-Female,42,9,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;9-Rash;10-Red eyes,5,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,150,1-LD,4-Skilled manual
,12/28/14 9:58,Z1100-Paynesville,2022112,2-Female,35,6,3-Some junior high,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;10-Red eyes;12-Bleeding;18-Cough,21,Y,Y,Y,N,,Y,N,Y,,,1-Agree,1-Agree,0-No,0-No,,20,2-USD,50,2-USD,4-Skilled manual
,12/28/14 9:13,Z1100-Paynesville,2022192,2-Female,56,17,0-None,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;3-Diarrhea;6-Sore throat,0,N,Y,Y,Y,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,200,1-LD,5000,1-LD,3-Sales and services
,12/28/14 11:05,Z1100-Paynesville,2022153,1-Male,39,32,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,500,1-LD,5000,1-LD,4-Skilled manual
,12/28/14 10:01,Z1100-Paynesville,2022152,2-Female,25,10,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue;16-Weight loss,0,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,3000,1-LD,5000,1-LD,0-None
,12/28/14 8:18,Z1100-Paynesville,2022,1-Male,31,13,5-Some high school,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;6-Contact with infected surfac,1-Vomiting;2-Fever;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,5000,1-LD,3-Sales and services
,12/28/14 9:10,Z1100-Paynesville,2022111,1-Male,19,8,5-Some high school,1-Christian,,97-Dont know,97-Does not know,8,Y,Y,N,N,,Y,N,Y,,,97-Do not know,97-Do not know,0-No,0-No,,500,1-LD,1500,1-LD,4-Skilled manual
,12/28/14 10:39,Z1100-Paynesville,2022113,2-Female,20,10,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;10-Red eyes,21,Y,Y,N,N,,Y,N,Y,,,1-Agree,1-Agree,1-Yes,0-No,,1000,1-LD,7000,1-LD,4-Skilled manual
,12/28/14 9:53,Z1100-Paynesville,2022193,2-Female,41,8,0-None,2-Muslim,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac,1-Vomiting;2-Fever;4-Headache;5-Joint and muscle pain;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,200,1-LD,50,2-USD,3-Sales and services
,12/28/14 7:58,Z1100-Paynesville,2022211,1-Male,40,4,3-Some junior high,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;9-Rash;10-Red eyes;12-Bleeding;15-Chills,21,N,Y,Y,Y,,N,,,,,1-Agree,1-Agree,0-No,1-Yes,,2000,1-LD,6000,1-LD,3-Sales and services
,12/28/14 9:34,Z1100-Paynesville,2022162,2-Female,29,4,7-Some university,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,1200,1-LD,2000,1-LD,1-Professional
,12/28/14 11:28,Z1100-Paynesville,2022114,2-Female,37,7,2-Completed ABC,1-Christian,,97-Dont know,97-Does not know,6,Y,Y,Y,N,,Y,N,Y,,,1-Agree,1-Agree,0-No,0-No,,2100,1-LD,4500,1-LD,5-Unskilled manual
,12/28/14 8:57,Z1100-Paynesville,2022151,2-Female,35,12,2-Completed ABC,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,4000,1-LD,2500,1-LD,3-Sales and services
,12/28/14 9:58,Z1100-Paynesville,2022132,1-Male,48,13,6-Completed high school,1-Christian,,88-Other,1-Vomiting;3-Diarrhea;10-Red eyes;88-Other,21,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,350,1-LD,3000,1-LD,4-Skilled manual
,12/28/14 11:29,Z1100-Paynesville,2022134,1-Male,35,4,7-Some university,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;6-Contact with infected surfac;88-Other,2-Fever;8-Stomach pain;10-Red eyes,2,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,250,1-LD,500,1-LD,0-None
,12/28/14 8:36,Z1100-Paynesville,2022161,1-Male,26,2,7-Some university,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;7-Weakness;9-Rash;10-Red eyes,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,1-LD,1000,1-LD,1-Professional
,12/28/14 9:13,Z1100-Paynesville,2022131,1-Male,42,5,3-Some junior high,1-Christian,,6-Contact with infected surfac;88-Other,1-Vomiting;3-Diarrhea;10-Red eyes,3,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,300,1-LD,4000,1-LD,5-Unskilled manual
,12/28/14 10:42,Z1100-Paynesville,2022133,1-Male,44,4,6-Completed high school,2-Muslim,,6-Contact with infected surfac,1-Vomiting;3-Diarrhea,21,Y,Y,N,Y,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,3000,1-LD,5000,1-LD,3-Sales and services
,12/28/14 10:45,Z1100-Paynesville,2022194,1-Male,35,8,0-None,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac,1-Vomiting;2-Fever;4-Headache;6-Sore throat;7-Weakness,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,400,1-LD,1700,1-LD,3-Sales and services
,12/28/14 9:56,Z1100-Paynesville,2022212,2-Female,23,5,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;2-Fever;4-Headache;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding,5,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,500,1-LD,2600,1-LD,3-Sales and services
,12/28/14 10:25,Z1100-Paynesville,2022163,2-Female,30,5,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;3-Diarrhea;7-Weakness;10-Red eyes,21,Y,Y,Y,N,,N,,,,,1-Agree,97-Do not know,1-Yes,0-No,,1700,1-LD,3000,1-LD,3-Sales and services
,1/3/15 13:40,Z1100-Paynesville,2023111,2-Female,45,10,1-Some ABC,1-Christian,,97-Dont know,97-Does not know,3,Y,Y,Y,N,,Y,N,Y,,,1-Agree,1-Agree,0-No,0-No,,500,1-LD,2000,1-LD,4-Skilled manual
,1/3/15 15:10,Z1100-Paynesville,2023133,2-Female,40,6,2-Completed ABC,1-Christian,,3-Bodily fluids of infected pe;6-Contact with infected surfac;97-Dont know,1-Vomiting;2-Fever;10-Red eyes;97-Does not know,2,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,200,1-LD,500,1-LD,0-None
,1/3/15 14:10,Z1100-Paynesville,2023214,2-Female,54,12,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;12-Bleeding,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,2000,1-LD,8000,1-LD,2-Clerical
,1/3/15 14:29,Z1100-Paynesville,2023132,2-Female,24,3,6-Completed high school,1-Christian,,6-Contact with infected surfac,1-Vomiting;3-Diarrhea;6-Sore throat;10-Red eyes,7,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,88-N/A,3000,1-LD,88-Other
,1/3/15 12:50,Z1100-Paynesville,2023213,2-Female,25,5,0-None,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;10-Red eyes;12-Bleeding,21,Y,Y,Y,Y,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,200,1-LD,800,1-LD,3-Sales and services
,1/3/15 15:21,Z1100-Paynesville,2023194,2-Female,40,20,0-None,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;4-Man woman business,1-Vomiting;5-Joint and muscle pain;8-Stomach pain,0,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,0,1-LD,0-None
,1/3/15 14:03,Z1100-Paynesville,2023192,2-Female,30,7,7-Some university,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;8-Stomach pain;9-Rash,0,N,N,N,N,,N,,,,,1-Agree,0-Disagree,1-Yes,1-Yes,,0,1-LD,400,1-LD,0-None
,1/3/15 14:40,Z1100-Paynesville,2023193,2-Female,27,11,3-Some junior high,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;4-Man woman business,1-Vomiting;3-Diarrhea;6-Sore throat;9-Rash,21,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,1-LD,100,2-USD,3-Sales and services
,1/3/15 14:18,Z1100-Paynesville,2023112,1-Male,58,4,5-Some high school,1-Christian,,3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;10-Red eyes;12-Bleeding;18-Cough,21,Y,Y,N,N,,Y,N,Y,,,97-Do not know,1-Agree,0-No,0-No,,350,1-LD,700,1-LD,5-Unskilled manual
,1/3/15 13:31,Z1100-Paynesville,2023161,2-Female,23,4,6-Completed high school,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;9-Rash;10-Red eyes,21,N,Y,N,N,,Y,Y,,1-Clinic,,1-Agree,1-Agree,1-Yes,1-Yes,,1000,1-LD,2500,1-LD,3-Sales and services
,1/3/15 11:29,Z1100-Paynesville,2023212,1-Male,38,8,7-Some university,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;6-Sore throat;8-Stomach pain;10-Red eyes;11-Hiccups;12-Bleeding,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,800,1-LD,5000,1-LD,1-Professional
,1/3/15 14:36,Z1100-Paynesville,2023152,1-Male,26,3,6-Completed high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,1250,1-LD,1500,1-LD,3-Sales and services
,1/3/15 14:59,Z1100-Paynesville,2023113,2-Female,29,7,0-None,1-Christian,,,,,,,,,,Y,N,Y,,,97-Do not know,97-Do not know,0-No,0-No,,400,1-LD,1000,1-LD,4-Skilled manual
,1/3/15 13:04,Z1100-Paynesville,2023191,1-Male,33,15,7-Some university,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;4-Headache;7-Weakness;11-Hiccups,1,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,0,1-LD,0,1-LD,0-None
,1/3/15 16:04,Z1100-Paynesville,2023114,2-Female,26,10,7-Some university,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;5-Joint and muscle pain;7-Weakness;12-Bleeding,21,N,Y,N,N,,Y,N,Y,,,1-Agree,1-Agree,1-Yes,0-No,,5,2-USD,20,2-USD,88-Other
,1/3/15 15:27,Z1100-Paynesville,2023153,1-Male,52,15,5-Some high school,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats,88-Other,3,N,Y,N,N,,N,,,,,1-Agree,1-Agree,0-No,0-No,,1000,1-LD,2000,1-LD,4-Skilled manual
,1/3/15 13:43,Z1100-Paynesville,2023131,2-Female,45,6,3-Some junior high,1-Christian,,88-Other,1-Vomiting;2-Fever;4-Headache,21,Y,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,0,1-LD,300,1-LD,88-Other
,1/3/15 14:22,Z1100-Paynesville,2023162,2-Female,46,7,0-None,1-Christian,,3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;4-Headache;6-Sore throat;7-Weakness;10-Red eyes,21,N,Y,N,N,,N,,,,,1-Agree,1-Agree,1-Yes,0-No,,4000,1-LD,6000,1-LD,3-Sales and services
,1/3/15 13:40,Z1100-Paynesville,2023151,1-Male,35,5,8-Completed university,1-Christian,,1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi,1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue;14-Bruising;15-Chills,21,N,Y,N,N,,Y,N,Y,,,1-Agree,1-Agree,1-Yes,0-No,,1000,1-LD,1500,1-LD,1-Professional
,1/3/15 10:26,Z1100-Paynesville,2023211,1-Male,60,23,7-Some university,1-Christian,,2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac,1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;7-Weakness;10-Red eyes;12-Bleeding,3,N,Y,Y,N,,N,,,,,1-Agree,1-Agree,1-Yes,1-Yes,,300,1-LD,1200,1-LD,88-Other
,12/28/14 14:42,Z1100-Paynesville,2024105,1-Male,39,5,5-Some high school,1-Christian,,1-Preparing or eating bush mea;3-Bodily fluids of infected pe,1-Vomiting;3-Diarrhea;4-Headache;10-Red eyes,21,N,Y,Y,N,,N,,,,,1-Agree,0-Disagree,1-Yes,1-Yes,,0,88-N/A,1000,1-LD,5-Unskilled manual
,12/28/14 13:36,Z1100-Paynesville,2024104,1-Male,26,6,6-Completed high school,1-Christian,,6-Contact with infected surfac,1-Vomiting;2-Fever;4-Headache;8-Stomach pain,21,N,Y,Y,N,,N,,,,,97-Do not know,0-Disagree,0-No,0-No,,3700,1-LD,10500,1-LD,5-Unskilled manual
